,Code,class_score,quiz_score,is_highschool,specialty
0,7,15,11,0,Technology
1,29,15,11,0,Design
2,46,15,11,0,Design
3,48,15,11,0,Technology
4,54,15,11,0,Business
5,66,15,11,0,Business
6,93,15,11,1,Business
7,105,15,11,0,Technology
8,135,15,11,0,Design
9,192,15,11,0,Business
10,206,15,11,1,Business
11,238,15,11,0,Technology
12,291,15,11,0,Design
13,299,15,11,1,Technology
14,318,15,11,0,Technology
15,322,15,11,0,Business
16,326,15,11,0,Business
17,328,15,11,0,Technology
18,353,15,11,1,Technology
19,381,15,11,0,Design
20,395,15,11,0,Business
21,53,15,10,1,Technology
22,56,15,10,0,Business
23,60,15,10,1,Business
24,126,14,11,0,Technology
25,143,15,10,0,Business
26,172,14,11,0,Design
27,194,14,11,0,Technology
28,211,15,10,0,Technology
29,274,15,10,0,Business
30,279,14,11,0,Technology
31,289,15,10,0,Business
32,300,15,10,0,Business
33,317,15,10,0,Business
34,323,15,10,1,Business
35,361,14,11,0,Design
36,385,14,11,0,Design
37,5,15,9,1,
38,138,14,10,0,Business
39,179,15,9,0,Technology
40,222,14,10,0,Design
41,269,14,10,0,Design
42,287,15,9,0,Design
43,292,13,11,0,Design
44,61,13,10,0,Business
45,67,12,11,0,Technology
46,88,13,10,0,Business
47,100,13,10,0,Technology
48,128,13,10,0,Business
49,155,13,10,0,Technology
50,160,13,10,0,Technology
51,168,13,10,0,Design
52,296,13,10,0,Technology
53,297,13,10,0,Business
54,298,13,10,1,Technology
55,376,14,9,0,Business
56,3,14,8,0,Technology
57,12,15,7,0,Business
58,33,11,11,0,Design
59,55,15,7,1,Business
60,112,12,10,0,Business
61,115,12,10,1,Technology
62,164,13,9,0,Business
63,182,13,9,0,Technology
64,186,13,9,0,Technology
65,240,14,8,0,Technology
66,248,15,7,0,Business
67,263,13,9,0,Business
68,265,13,9,0,Business
69,312,13,9,0,Design
70,331,14,8,0,Business
71,368,12,10,0,Business
72,389,13,9,0,Business
73,123,12,9,0,Business
74,207,13,8,0,Technology
75,223,12,9,0,Business
76,231,13,8,0,Technology
77,252,13,8,0,Design
78,349,13,8,0,Technology
79,370,13,8,0,Technology
80,79,13,7,0,Technology
81,156,13,7,0,Business
82,255,10,10,0,Design
83,303,13,7,0,Business
84,309,12,8,0,Design
85,99,11,8,0,Technology
86,191,13,6,0,Design
87,217,11,8,0,Design
88,244,11,8,0,Business
89,388,13,6,0,Business
90,22,12,6,1,Technology
91,62,10,8,0,Technology
92,154,11,7,0,Technology
93,262,11,7,1,Technology
94,264,12,6,0,Technology
95,304,11,7,0,Business
96,397,11,7,0,Business
97,38,11,6,0,Design
98,75,11,6,0,Design
99,94,10,7,0,Design
100,101,10,7,1,Business
101,108,10,7,0,Business
102,181,14,3,0,Technology
103,209,11,6,1,Technology
104,34,9,7,0,Business
105,133,13,3,1,Design
106,351,10,6,0,
107,354,10,6,0,Technology
108,372,10,6,0,Technology
109,373,10,6,0,Business
110,177,10,5,1,Design
111,314,8,7,0,Design
112,246,11,3,1,Technology
113,302,11,3,0,Design
114,305,9,5,0,Technology
115,380,10,4,0,Business
116,43,9,4,0,Design
117,49,13,0,0,Business
118,96,10,3,0,Design
119,139,8,5,0,Business
120,214,8,5,0,Technology
121,276,9,4,0,Technology
122,399,9,4,0,Technology
123,106,9,3,0,Design
124,183,9,3,0,Technology
125,230,8,4,0,Design
126,295,8,4,0,Business
127,31,7,4,0,Design
128,104,7,4,0,Technology
129,140,9,2,0,Technology
130,151,7,4,0,Design
131,59,6,4,1,Technology
132,68,6,4,0,Design
133,169,7,3,0,Design
134,199,6,4,0,Business
135,249,6,4,0,Business
136,283,7,3,1,Design
137,384,7,3,0,Design
138,387,7,3,0,Technology
139,10,9,0,1,Technology
140,16,6,3,0,Business
141,20,6,3,0,Business
142,24,5,4,0,Design
143,102,7,2,0,Business
144,129,8,1,0,Technology
145,176,8,1,1,Technology
146,213,6,3,0,Design
147,374,6,3,0,Design
148,8,8,0,0,Design
149,141,5,3,0,Business
150,185,5,3,0,Business
151,261,8,0,0,Design
